variables	n.x	max_value.x	min_value.x	mean_alive.x	sigma_alive.x	n.y	max_value.y	min_value.y	mean_alive.y	sigma_alive.y
acid_phosphatase	281	29.69921875	0.0999908447265625	0.6682911394329681	1.7720435885123644	205	999.875	0.199981689453125	28.377717255383004	95.01652455960074
acid_phosphatase_log	281	3.391120740748874	-2.3026766499196283	-0.6768548909411759	0.547230372940302	205	6.907630271168986	-1.6095294693596827	1.710575523553092	1.606233099719893
age	281	89	49	71.75800711743773	6.644961701487442	205	87	48	71.18048780487806	7.438084941973789
bone_mets	281	1	0	0.0035587188612099642	0.05965499862718936	205	1	0	0.3804878048780488	0.48669529471689943
CVD	281	1	0	0.47330960854092524	0.5001779042931229	205	1	0	0.3804878048780488	0.48669529471689943
dbp	281	18	4	8.213523131672599	1.5366808062691066	205	12	4	8.053658536585365	1.358361462653935
EKG_lvl	281	6	0	2.4412811387900355	2.0135976498989807	205	5	0	2.341463414634146	1.9251910536405719
hemoglobin	281	18.19921875	5.8994140625	13.72806730983096	1.835662051032815	205	21.19921875	7	13.028515625	2.0724100564138
performance_lvl	281	4	2	3.925266903914591	0.30136952271615947	205	4	1	3.7853658536585364	0.5711876926202637
sbp	281	30	9	14.451957295373665	2.5422160070972	205	22	8	14.258536585365853	2.2221010647667003
treatment_mg	281	5	0	1.5409252669039146	2.0306397298024486	205	5	0	1.615609756097561	2.0626820166630475
tumor_size	281	69	0	11.676156583629894	10.507400495621836	205	62	0	18.28292682926829	13.498291512062547
weight_index	281	152	72	100.11743772241992	13.027049407614491	205	150	69	97.43414634146342	13.464616115409378
