variables	n	max_value	min_value	mean_value	sigma_value
acid_phosphatase	486	999.875	0.0999908447265625	12.356423554597077	63.14159609737335
acid_phosphatase_log	486	6.907630271168986	-2.3026766499196283	0.3301888024154598	1.628204583563467
age	486	89	48	71.51440329218107	6.988856989117724
bone_mets	486	1	0	0.16255144032921812	0.3693360892641995
CVD	486	1	0	0.43415637860082307	0.4961563690064064
dbp	486	18	4	8.146090534979423	1.4647948183372832
EKG_lvl	486	6	0	2.39917695473251	1.9753948689338263
hemoglobin	486	21.19921875	5.8994140625	13.432988924254115	1.9676059103804364
performance_lvl	486	4	1	3.866255144032922	0.4409609571097353
sbp	486	30	8	14.37037037037037	2.411883523428151
treatment_mg	486	5	0	1.5724279835390946	2.0424316087071888
tumor_size	486	69	0	14.462962962962964	12.290037314106518
weight_index	486	152	69	98.98559670781893	13.266102775083642
